EA,CLS,SENT,ASP
LAPTOP#GENERAL,1,there are so many wonderful features and benefits to the new macbook !,general
LAPTOP#QUALITY,1,no viruses !,quality
LAPTOP#OPERATION_PERFORMANCE,1,this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials .,performance
LAPTOP#USABILITY,1,this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials .,usability
COMPANY#GENERAL,1,i am loyal to apple .,general
LAPTOP#GENERAL,1,i am very happy !,general
HARD_DISC#QUALITY,-1,this just keeps having it 's hard drive replaced !,quality
SUPPORT#QUALITY,-1,acer wo n't replace the laptop .,quality
WARRANTY#GENERAL,-1,the manufacturer 's warranty only covers replacement/repair of parts .,general
LAPTOP#QUALITY,-1,this thing is a lemon .,quality
LAPTOP#GENERAL,1,this macbook is an outstanding product with great value .,general
LAPTOP#USABILITY,1,its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,usability
SUPPORT#QUALITY,1,its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,quality
BATTERY#OPERATION_PERFORMANCE,1,"suffice it to say , my macbook pro keeps me going with its long battery life and blazing speed .",performance
LAPTOP#OPERATION_PERFORMANCE,1,"suffice it to say , my macbook pro keeps me going with its long battery life and blazing speed .",performance
LAPTOP#QUALITY,0,it does run a little warm but that is a negligible concern .,quality
LAPTOP#GENERAL,-1,i have had nothing but problems since the day i took it out of the box !,general
LAPTOP#QUALITY,-1,i have had nothing but problems since the day i took it out of the box !,quality
SOFTWARE#GENERAL,-1,my first problem was with the pre-loaded norton firewall/security program .,general
LAPTOP#CONNECTIVITY,-1,it would not let me connect to my wifi system where i lived .,connectivity
SUPPORT#QUALITY,-1,it took toshiba tech support 4 calls and 4 different techs to correct the problem .,quality
MOUSE#QUALITY,-1,"then just the other day , my left `` mouse '' button snapped !",quality
LAPTOP#GENERAL,-1,"being only 2 months old , i am not a happy camper !",general
LAPTOP#GENERAL,-1,buyer beware .,general
LAPTOP#QUALITY,-1,"this one , in my opinion , might be a lemon !",quality
LAPTOP#QUALITY,-1,it rarely works and when it does it 's incredibly slow .,quality
LAPTOP#OPERATION_PERFORMANCE,-1,it rarely works and when it does it 's incredibly slow .,performance
LAPTOP#QUALITY,-1,i have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months !,quality
LAPTOP#GENERAL,-1,"*if you are looking for a good laptop , this is not it !",general
LAPTOP#PRICE,1,like the price and operation .,price
LAPTOP#OPERATION_PERFORMANCE,1,like the price and operation .,performance
LAPTOP#USABILITY,-1,"some features arent friendly ( volume wheel , sound quality , etc .",usability
MULTIMEDIA_DEVICES#USABILITY,-1,"some features arent friendly ( volume wheel , sound quality , etc .",usability
MULTIMEDIA_DEVICES#QUALITY,-1,"some features arent friendly ( volume wheel , sound quality , etc .",quality
LAPTOP#GENERAL,1,"but , for the cost this is a winner .",general
LAPTOP#PRICE,1,"but , for the cost this is a winner .",price
LAPTOP#GENERAL,1,i absolutely love my mac !,general
LAPTOP#GENERAL,1,i ca n't imagine my life without it anymore !,general
LAPTOP#GENERAL,1,i 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .,general
PORTS#QUALITY,-1,i 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .,quality
PORTS#QUALITY,-1,apparently they are defective since they are not securely attached .,quality
LAPTOP#CONNECTIVITY,-1,i can barely use any usb devices because they will not stay connected properly .,connectivity
SUPPORT#QUALITY,-1,i called toshiba and they want me to be without my laptop for about two weeks while they look at the problem .,quality
SUPPORT#QUALITY,-1,i think i might rather suffer for something that is simple to fix in my opinion .,quality
LAPTOP#GENERAL,-1,i bought this laptop was the worst laptop i 've ever bought .,general
LAPTOP#PRICE,-1,i spent alot of money on this product and its been a nightmare .,price
LAPTOP#GENERAL,-1,i spent alot of money on this product and its been a nightmare .,general
SUPPORT#QUALITY,-1,and having to deal with the company has been a even worse nightmare .,quality
SUPPORT#QUALITY,-1,they sent it back with a huge crack in it and it still did n't work .,quality
SUPPORT#QUALITY,-1,and that was the fourth time ive sent it to them to get fixed .,quality
SUPPORT#QUALITY,-1,its been a year and am still waiting to see what there going to do about my laptop .,quality
COMPANY#GENERAL,-1,so if anyones looking to buy a computer or laptop you should stay far far away from any that have the name toshiba on it ...,general
LAPTOP#GENERAL,1,i saved for this laptop for 3 months and i can tell you personally it was worth the wait .,general
DISPLAY#GENERAL,1,"the display on this computer is the best i 've seen in a very long time , the battery life is very long and very convienent .",general
BATTERY#OPERATION_PERFORMANCE,1,"the display on this computer is the best i 've seen in a very long time , the battery life is very long and very convienent .",performance
LAPTOP#PRICE,-1,"a little pricey but it is well , well worth it .",price
LAPTOP#GENERAL,1,"a little pricey but it is well , well worth it .",general
LAPTOP#GENERAL,1,it is amazing .,general
HARD_DISC#QUALITY,-1,in the first moth of owning this computer its hardrive failed which had to be replaced .,quality
BATTERY#QUALITY,-1,after replacing the hard drive the battery stopped working ( 3 months of use ) which was frustrating .,quality
BATTERY#OPERATION_PERFORMANCE,-1,after replacing the hard drive the battery stopped working ( 3 months of use ) which was frustrating .,performance
POWER_SUPPLY#QUALITY,-1,then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running .,quality
POWER_SUPPLY#OPERATION_PERFORMANCE,-1,then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running .,performance
HARDWARE#QUALITY,-1,then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running .,quality
LAPTOP#QUALITY,-1,a tip for people looking into this computer : do not buy it save up a bit more money and buy a computer that will last .,quality
BATTERY#OPERATION_PERFORMANCE,1,has a 5-6 hour battery life .,performance
LAPTOP#USABILITY,1,it is easy to use and lightweight .,usability
LAPTOP#DESIGN_FEATURES,1,it is easy to use and lightweight .,design
LAPTOP#GENERAL,1,was very much worth the price i paid .,general
LAPTOP#PRICE,1,was very much worth the price i paid .,price
LAPTOP#QUALITY,-1,this netbook went bad on me after 3 days .,quality
DISPLAY#OPERATION_PERFORMANCE,-1,there is a blank lighted screen when i start and that is all .,performance
DISPLAY#QUALITY,-1,"three weeks after i bought the netbook , the screen quit working .",quality
DISPLAY#OPERATION_PERFORMANCE,-1,"three weeks after i bought the netbook , the screen quit working .",performance
DISPLAY#QUALITY,-1,i baby my electronics so i know for a fact it was defective and not anything that i did to it .,quality
LAPTOP#QUALITY,-1,"overall i feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .",quality
LAPTOP#OPERATION_PERFORMANCE,-1,"overall i feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .",performance
BATTERY#OPERATION_PERFORMANCE,1,"overall i feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .",performance
LAPTOP#PORTABILITY,1,took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop .,portability
LAPTOP#DESIGN_FEATURES,1,took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop .,design
LAPTOP#GENERAL,1,took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop .,general
LAPTOP#OPERATION_PERFORMANCE,-1,the so called laptop runs to slow and i hate it !,performance
LAPTOP#GENERAL,-1,the so called laptop runs to slow and i hate it !,general
LAPTOP#GENERAL,-1,do not buy it !,general
LAPTOP#GENERAL,-1,it is the worst laptop ever,general
DISPLAY#QUALITY,1,"the image is great , and the soud is excelent .",quality
MULTIMEDIA_DEVICES#QUALITY,1,"the image is great , and the soud is excelent .",quality
LAPTOP#GENERAL,1,i love ths notebook .,general
MOUSE#DESIGN_FEATURES,1,i love the glass touchpad .,design
LAPTOP#USABILITY,1,easy learning curve .,usability
DISPLAY#GENERAL,1,also the display is exceptional !,general
LAPTOP#GENERAL,1,i have loved this since i took it out of the box .,general
BATTERY#OPERATION_PERFORMANCE,1,the battery is really long .,performance
LAPTOP#DESIGN_FEATURES,1,"the features are great , the only thing it needs is better speakers .",design
MULTIMEDIA_DEVICES#GENERAL,-1,"the features are great , the only thing it needs is better speakers .",general
LAPTOP#DESIGN_FEATURES,1,small and light weight .,design
MULTIMEDIA_DEVICES#DESIGN_FEATURES,-1,speakers too small to be of any real use .,design
MULTIMEDIA_DEVICES#USABILITY,-1,speakers too small to be of any real use .,usability
KEYBOARD#DESIGN_FEATURES,1,keyboard good sized and wasy to use .,design
KEYBOARD#USABILITY,1,keyboard good sized and wasy to use .,usability
LAPTOP#GENERAL,1,i like it !,general
LAPTOP#GENERAL,1,meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis .,general
LAPTOP#DESIGN_FEATURES,1,meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis .,design
LAPTOP#PORTABILITY,1,meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis .,portability
LAPTOP#GENERAL,-1,"needless to say , not to happy with the product .",general
LAPTOP#GENERAL,1,this is a great machine !,general
LAPTOP#DESIGN_FEATURES,1,"the design is awesome , quality is unprecedented .",design
LAPTOP#QUALITY,1,"the design is awesome , quality is unprecedented .",quality
LAPTOP#QUALITY,1,"apparently well-built and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .",quality
LAPTOP#DESIGN_FEATURES,1,"apparently well-built and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .",design
LAPTOP#PRICE,1,"apparently well-built and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .",price
LAPTOP#OPERATION_PERFORMANCE,1,"apparently well-built and gorgeous to look at , the i5 macbook pro is a winning combination of price and performance .",performance
LAPTOP#GENERAL,1,it is by far one of the greatest investments i have ever made .,general
LAPTOP#GENERAL,1,"am very glad i bought it , great netbook , low price .",general
LAPTOP#PRICE,1,"am very glad i bought it , great netbook , low price .",price
LAPTOP#QUALITY,1,very good quality and well made .,quality
LAPTOP#PORTABILITY,1,great pick for portability and affordability .,portability
LAPTOP#PRICE,1,great pick for portability and affordability .,price
LAPTOP#DESIGN_FEATURES,1,the black model also has a very nice seamless appearance - one of the better looking notebooks i 've seen .,design
DISPLAY#QUALITY,-1,the only problem is a lack of screen resolutions !,quality
LAPTOP#PRICE,1,"if you need an affordable , entry-level laptop , this will fit the bill .",price
LAPTOP#MISCELLANEOUS,1,"if you need an affordable , entry-level laptop , this will fit the bill .",miscellaneous
LAPTOP#PORTABILITY,-1,"i dislike the weight and size , cubersome .",portability
LAPTOP#DESIGN_FEATURES,-1,"i dislike the weight and size , cubersome .",design
MULTIMEDIA_DEVICES#QUALITY,-1,i dislike the quality and the placement of the speakers .,quality
MULTIMEDIA_DEVICES#DESIGN_FEATURES,-1,i dislike the quality and the placement of the speakers .,design
LAPTOP#GENERAL,0,"overall , it 's ok .",general
LAPTOP#DESIGN_FEATURES,-1,laptop is advertised as a 15 '' but the casing looks like that of a 17 '' .,design
LAPTOP#DESIGN_FEATURES,-1,this laptop is very large and barely fits in any carrying cases .,design
LAPTOP#PORTABILITY,-1,this laptop is very large and barely fits in any carrying cases .,portability
LAPTOP#OPERATION_PERFORMANCE,1,peformance is good for the price .,performance
LAPTOP#PRICE,0,peformance is good for the price .,price
LAPTOP#PORTABILITY,-1,"if you 're not wanting to be mobile , this is a good laptop to sit on a desk .",portability
LAPTOP#GENERAL,1,"if you 're not wanting to be mobile , this is a good laptop to sit on a desk .",general
LAPTOP#QUALITY,-1,had to have this computer repaired twice in the first 5 months after purchasing it .,quality
LAPTOP#MISCELLANEOUS,-1,not good for a person who gets online daily .,miscellaneous
LAPTOP#MISCELLANEOUS,0,may be better for the occasional web surfer .,miscellaneous
LAPTOP#GENERAL,1,"i just got this laptop for college , and so far i am very happy with it .",general
LAPTOP#USABILITY,1,it is so much easier to use,usability
KEYBOARD#GENERAL,1,"good keyboard , long battery life , largest hard drive and windows 7 .",general
BATTERY#OPERATION_PERFORMANCE,1,"good keyboard , long battery life , largest hard drive and windows 7 .",performance
HARD_DISC#DESIGN_FEATURES,1,"good keyboard , long battery life , largest hard drive and windows 7 .",design
OS#GENERAL,0,"good keyboard , long battery life , largest hard drive and windows 7 .",general
SUPPORT#QUALITY,1,and toshiba is a quality supplier .,quality
LAPTOP#GENERAL,1,i love this little one .,general
KEYBOARD#QUALITY,1,the keyboard has a wonderful nature feel .,quality
BATTERY#OPERATION_PERFORMANCE,1,great battery life .,performance
KEYBOARD#DESIGN_FEATURES,1,keyboard is reasonable size .,design
DISPLAY#DESIGN_FEATURES,-1,small screen somewhat limiting but great for travel .,design
LAPTOP#PORTABILITY,1,small screen somewhat limiting but great for travel .,portability
POWER_SUPPLY#DESIGN_FEATURES,-1,charger seems large for this class of computer .,design
LAPTOP#GENERAL,1,"great laptop for the price , works well with action pack games .",general
LAPTOP#PRICE,0,"great laptop for the price , works well with action pack games .",price
LAPTOP#MISCELLANEOUS,1,"great laptop for the price , works well with action pack games .",miscellaneous
KEYBOARD#DESIGN_FEATURES,-1,"the only thing that i have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .",design
KEYBOARD#USABILITY,-1,"the only thing that i have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .",usability
LAPTOP#GENERAL,1,but other then that i would give this product a 4 in hafe stars .,general
LAPTOP#MISCELLANEOUS,1,good for every day computing and web browsing .,miscellaneous
LAPTOP#MISCELLANEOUS,1,a great computer for light home use and business use .,miscellaneous
LAPTOP#MISCELLANEOUS,0,might not make the avid gamer happy but i do n't really think that is what this computer is designed for .,miscellaneous
DISPLAY#QUALITY,1,"crisp screen , great battery life , and plenty of storage .",quality
BATTERY#OPERATION_PERFORMANCE,1,"crisp screen , great battery life , and plenty of storage .",performance
HARD_DISC#DESIGN_FEATURES,1,"crisp screen , great battery life , and plenty of storage .",design
LAPTOP#GENERAL,1,very happy .,general
LAPTOP#GENERAL,1,he loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started .,general
LAPTOP#USABILITY,1,he loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started .,usability
LAPTOP#MISCELLANEOUS,1,i would recomend this acer to parents and grandparents it can really help them in school .,miscellaneous
LAPTOP#MISCELLANEOUS,-1,my only problem is i can not reg . the product key .,miscellaneous
LAPTOP#MISCELLANEOUS,-1,"it want take it , it keep saying error .",miscellaneous
LAPTOP#GENERAL,1,"help , help , other than that gets a great little wonder .",general
LAPTOP#OPERATION_PERFORMANCE,1,it 's fast and has excellent battery life .,performance
BATTERY#OPERATION_PERFORMANCE,1,it 's fast and has excellent battery life .,performance
DISPLAY#QUALITY,1,the screen shows great colors .,quality
LAPTOP#OPERATION_PERFORMANCE,1,i was surprised with the performance and quality of this hp laptop .,performance
LAPTOP#QUALITY,1,i was surprised with the performance and quality of this hp laptop .,quality
LAPTOP#OPERATION_PERFORMANCE,1,the speed is fine .,performance
DISPLAY#DESIGN_FEATURES,1,"but with a way bigger screen , and is able to connect to an hdmi .",design
LAPTOP#CONNECTIVITY,1,"but with a way bigger screen , and is able to connect to an hdmi .",connectivity
LAPTOP#GENERAL,1,love it .,general
LAPTOP#GENERAL,1,"i would recommend this computer to anyone searching for the perfect laptop , and the battery life is amazing .",general
BATTERY#OPERATION_PERFORMANCE,1,"i would recommend this computer to anyone searching for the perfect laptop , and the battery life is amazing .",performance
BATTERY#OPERATION_PERFORMANCE,-1,i bought this lap top and the charge time dose n't last as long as they say it will more like 2 hours,performance
LAPTOP#MISCELLANEOUS,1,this computer is the ideal college companion .,miscellaneous
LAPTOP#OPERATION_PERFORMANCE,1,it 's software and speed enable it to do amazing things .,performance
SOFTWARE#GENERAL,1,it 's software and speed enable it to do amazing things .,general
LAPTOP#GENERAL,-1,i am not happy at all with the product i purchased .,general
LAPTOP#PRICE,0,a cheaper price should not equal a `` cheap '' product .,price
LAPTOP#QUALITY,-1,a cheaper price should not equal a `` cheap '' product .,quality
LAPTOP#GENERAL,-1,it was over rated !,general
LAPTOP#GENERAL,1,the toshiba laptop was a great purchase .,general
LAPTOP#PRICE,1,"the price was very good , and the product is top quality .",price
LAPTOP#QUALITY,1,"the price was very good , and the product is top quality .",quality
SHIPPING#QUALITY,1,"the delivery was fast , and i would not hesitate to purchase this laptop again .",quality
LAPTOP#GENERAL,1,"the delivery was fast , and i would not hesitate to purchase this laptop again .",general
LAPTOP#USABILITY,1,it has easy to use features and all the speed and power i could ask for .,usability
LAPTOP#OPERATION_PERFORMANCE,1,it has easy to use features and all the speed and power i could ask for .,performance
LAPTOP#QUALITY,1,true quality at a great price !,quality
LAPTOP#PRICE,1,true quality at a great price !,price
